Subject,Condition,Accuracy,Macro_F1,Best_Validation_Accuracy,Inference_ms,Training_Trials,Validation_Trials,Test_Trials,Raw_Accuracy,Raw_Macro_F1,Accuracy_Change,F1_Change,Dominant_Band,Theta_Absolute_Power,Theta_Relative_Power,Alpha_Mu_Absolute_Power,Alpha_Mu_Relative_Power,Beta_Absolute_Power,Beta_Relative_Power,Gamma_Absolute_Power,Gamma_Relative_Power
A01,Raw,0.6227758007117438,0.6150849154850597,0.7090909090909091,27.61101722717285,218,55,281,0.6227758007117438,0.6150849154850597,0.0,0.0,Beta,9.448786526450059,31.144899573481162,8.430962617208975,27.789968932592675,10.725621140454404,35.35357607535684,1.7327802825860443,5.711555418569324
A01,All_Clean,0.5871886120996441,0.5697533583183418,0.7090909090909091,25.05683898925781,218,55,281,0.6227758007117438,0.6150849154850597,-0.03558718861209964,-0.045331557166717884,Beta,9.448786526450059,31.144899573481162,8.430962617208975,27.789968932592675,10.725621140454404,35.35357607535684,1.7327802825860443,5.711555418569324
A01,Theta_Clean,0.597864768683274,0.5810173177866217,0.7090909090909091,24.47700500488281,218,55,281,0.6227758007117438,0.6150849154850597,-0.02491103202846978,-0.034067597698438035,Beta,9.448786526450059,31.144899573481162,8.430962617208975,27.789968932592675,10.725621140454404,35.35357607535684,1.7327802825860443,5.711555418569324
A01,Alpha_Mu_Clean,0.5836298932384342,0.56360469099629,0.7272727272727273,25.92706680297852,218,55,281,0.6227758007117438,0.6150849154850597,-0.039145907473309594,-0.051480224488769766,Beta,9.448786526450059,31.144899573481162,8.430962617208975,27.789968932592675,10.725621140454404,35.35357607535684,1.7327802825860443,5.711555418569324
A01,Beta_Clean,0.608540925266904,0.5992292555195283,0.7272727272727273,37.69350051879883,218,55,281,0.6227758007117438,0.6150849154850597,-0.014234875444839812,-0.0158556599655314,Beta,9.448786526450059,31.144899573481162,8.430962617208975,27.789968932592675,10.725621140454404,35.35357607535684,1.7327802825860443,5.711555418569324
A01,Gamma_Clean,0.6227758007117438,0.6107919608234044,0.7818181818181819,24.744272232055664,218,55,281,0.6227758007117438,0.6150849154850597,0.0,-0.004292954661655357,Beta,9.448786526450059,31.144899573481162,8.430962617208975,27.789968932592675,10.725621140454404,35.35357607535684,1.7327802825860443,5.711555418569324
A02,Raw,0.342756183745583,0.3286963549329631,0.5185185185185185,25.18486976623535,216,54,283,0.342756183745583,0.3286963549329631,0.0,0.0,Alpha_Mu,7.196387542485316,23.88314482117224,10.794079390553659,35.82305146490096,10.311418134288902,34.221210455799465,1.8297730387091837,6.0725932581273305
A02,All_Clean,0.3674911660777385,0.3585828275971122,0.5,36.91577911376953,216,54,283,0.342756183745583,0.3286963549329631,0.024734982332155542,0.029886472664149066,Alpha_Mu,7.196387542485316,23.88314482117224,10.794079390553659,35.82305146490096,10.311418134288902,34.221210455799465,1.8297730387091837,6.0725932581273305
A02,Theta_Clean,0.3215547703180212,0.2981396842958709,0.5740740740740741,25.153398513793945,216,54,283,0.342756183745583,0.3286963549329631,-0.021201413427561766,-0.03055667063709222,Alpha_Mu,7.196387542485316,23.88314482117224,10.794079390553659,35.82305146490096,10.311418134288902,34.221210455799465,1.8297730387091837,6.0725932581273305
A02,Alpha_Mu_Clean,0.303886925795053,0.2889982071134995,0.3703703703703703,34.11364555358887,216,54,283,0.342756183745583,0.3286963549329631,-0.03886925795052998,-0.039698147819463625,Alpha_Mu,7.196387542485316,23.88314482117224,10.794079390553659,35.82305146490096,10.311418134288902,34.221210455799465,1.8297730387091837,6.0725932581273305
