Subject,Predicted_Group,Policy_Accuracy,Alternative_Accuracy,Policy_Accuracy_Gain,Policy_F1,Alternative_F1,Policy_F1_Gain
A01,Harmed,0.6227758007117438,0.5871886120996441,0.03558718861209964,0.6150849154850597,0.5697533583183418,0.045331557166717884
A02,Harmed,0.342756183745583,0.3674911660777385,-0.024734982332155542,0.3286963549329631,0.3585828275971122,-0.029886472664149066
A03,Harmed,0.6923076923076923,0.7032967032967034,-0.010989010989011061,0.6770762367227954,0.6755924093026737,0.0014838274201216528
A04,Responder,0.5087719298245614,0.4385964912280701,0.07017543859649134,0.5089476408412336,0.4330969183721477,0.07585072246908586
A05,Responder,0.3442028985507246,0.3152173913043478,0.02898550724637683,0.2866100043493601,0.2458182770358732,0.04079172731348693
A06,Harmed,0.4511627906976744,0.4651162790697674,-0.013953488372092981,0.4432450739825371,0.4547691181005242,-0.011524044117987076
A07,Responder,0.4909747292418772,0.4584837545126354,0.032490974729241784,0.4778662020610823,0.4535917655575161,0.0242744365035662
A08,Harmed,0.6568265682656826,0.6900369003690037,-0.03321033210332103,0.6565976390556222,0.6806904293046201,-0.02409279024899791
A09,Responder,0.7386363636363636,0.6590909090909091,0.07954545454545459,0.7386075368691581,0.6582576519785905,0.0803498848905676
