Channel,Accuracy_Spearman_rho,Accuracy_p,F1_Spearman_rho,F1_p
C5,0.049999999999999996,0.8983528043506301,0.049999999999999996,0.8983528043506301
C3,-0.03333333333333333,0.932156735540504,-0.03333333333333333,0.932156735540504
C1,0.049999999999999996,0.8983528043506301,0.049999999999999996,0.8983528043506301
Cz,0.16666666666666669,0.668231040071504,0.16666666666666669,0.668231040071504
C2,0.19999999999999998,0.6059012741795533,0.19999999999999998,0.6059012741795533
C4,0.2333333333333333,0.5456987782182727,0.2333333333333333,0.5456987782182727
C6,0.3,0.4328453267094823,0.3,0.4328453267094823
