Subject,Condition,Accuracy,Macro_F1,Best_Validation_Accuracy,Inference_ms,Training_Trials,Validation_Trials,Test_Trials,Raw_Accuracy,Raw_Macro_F1,Accuracy_Change,F1_Change,Dominant_Band,Theta_Absolute_Power,Theta_Relative_Power,Alpha_Mu_Absolute_Power,Alpha_Mu_Relative_Power,Beta_Absolute_Power,Beta_Relative_Power,Gamma_Absolute_Power,Gamma_Relative_Power
A06,Raw,0.4511627906976744,0.4432450739825371,0.5454545454545454,19.678831100463867,175,44,215,0.4511627906976744,0.4432450739825371,0.0,0.0,Theta,18.31189940595753,35.4147419884499,15.599665866112431,30.169352152222174,14.830198895083106,28.6812228411376,2.965232348393302,5.734683018190328
A06,All_Clean,0.4651162790697674,0.4547691181005242,0.4772727272727273,19.238710403442383,175,44,215,0.4511627906976744,0.4432450739825371,0.0139534883720929,0.011524044117987,Theta,18.31189940595753,35.4147419884499,15.599665866112431,30.169352152222174,14.830198895083106,28.6812228411376,2.965232348393302,5.734683018190328
A06,Theta_Clean,0.4093023255813953,0.3940990176433214,0.3863636363636363,22.73344993591309,175,44,215,0.4511627906976744,0.4432450739825371,-0.0418604651162791,-0.0491460563392157,Theta,18.31189940595753,35.4147419884499,15.599665866112431,30.169352152222174,14.830198895083106,28.6812228411376,2.965232348393302,5.734683018190328
A06,Alpha_Mu_Clean,0.4976744186046511,0.4885073701611792,0.5454545454545454,20.1568603515625,175,44,215,0.4511627906976744,0.4432450739825371,0.0465116279069767,0.045262296178642,Theta,18.31189940595753,35.4147419884499,15.599665866112431,30.169352152222174,14.830198895083106,28.6812228411376,2.965232348393302,5.734683018190328
A06,Beta_Clean,0.3581395348837209,0.3548838768365868,0.4318181818181818,19.425153732299805,175,44,215,0.4511627906976744,0.4432450739825371,-0.0930232558139534,-0.0883611971459503,Theta,18.31189940595753,35.4147419884499,15.599665866112431,30.169352152222174,14.830198895083106,28.6812228411376,2.965232348393302,5.734683018190328
A06,Gamma_Clean,0.3627906976744186,0.3459531590413943,0.4090909090909091,23.79798889160156,175,44,215,0.4511627906976744,0.4432450739825371,-0.0883720930232557,-0.0972919149411428,Theta,18.31189940595753,35.4147419884499,15.599665866112431,30.169352152222174,14.830198895083106,28.6812228411376,2.965232348393302,5.734683018190328
A07,Raw,0.4584837545126354,0.4535917655575161,0.5818181818181818,33.644676208496094,216,55,277,0.4584837545126354,0.4535917655575161,0.0,0.0,Beta,7.118479791223559,27.346060932120075,8.076993171294058,31.028246744879805,10.037188623627593,38.55845345340568,0.7984359415515546,3.0672388695944486
A07,All_Clean,0.4909747292418772,0.4778662020610823,0.5454545454545454,25.251150131225582,216,55,277,0.4584837545126354,0.4535917655575161,0.0324909747292417,0.0242744365035662,Beta,7.118479791223559,27.346060932120075,8.076993171294058,31.028246744879805,10.037188623627593,38.55845345340568,0.7984359415515546,3.0672388695944486
A07,Theta_Clean,0.516245487364621,0.5075302885677159,0.5636363636363636,29.98495101928711,216,55,277,0.4584837545126354,0.4535917655575161,0.0577617328519855,0.0539385230101997,Beta,7.118479791223559,27.346060932120075,8.076993171294058,31.028246744879805,10.037188623627593,38.55845345340568,0.7984359415515546,3.0672388695944486
A07,Alpha_Mu_Clean,0.5487364620938628,0.5434038902262782,0.6363636363636364,30.939817428588867,216,55,277,0.4584837545126354,0.4535917655575161,0.0902527075812274,0.0898121246687621,Beta,7.118479791223559,27.346060932120075,8.076993171294058,31.028246744879805,10.037188623627593,38.55845345340568,0.7984359415515546,3.0672388695944486
A07,Beta_Clean,0.5487364620938628,0.5469820535415119,0.7272727272727273,25.093555450439453,216,55,277,0.4584837545126354,0.4535917655575161,0.0902527075812274,0.0933902879839957,Beta,7.118479791223559,27.346060932120075,8.076993171294058,31.028246744879805,10.037188623627593,38.55845345340568,0.7984359415515546,3.0672388695944486
A07,Gamma_Clean,0.5379061371841155,0.533253336741929,0.5818181818181818,25.009632110595703,216,55,277,0.4584837545126354,0.4535917655575161,0.0794223826714801,0.0796615711844128,Beta,7.118479791223559,27.346060932120075,8.076993171294058,31.028246744879805,10.037188623627593,38.55845345340568,0.7984359415515546,3.0672388695944486
A08,Raw,0.6568265682656826,0.6565976390556222,0.7169811320754716,24.09052848815918,211,53,271,0.6568265682656826,0.6565976390556222,0.0,0.0,Alpha_Mu,9.838514940554685,12.995855440804815,31.86147820275546,42.08634812826934,29.5615987381834,39.04839969464436,4.44342796401344,5.869396736281489
A08,All_Clean,0.6900369003690037,0.6806904293046201,0.7169811320754716,24.672508239746094,211,53,271,0.6568265682656826,0.6565976390556222,0.033210332103321,0.0240927902489979,Alpha_Mu,9.838514940554685,12.995855440804815,31.86147820275546,42.08634812826934,29.5615987381834,39.04839969464436,4.44342796401344,5.869396736281489
A08,Theta_Clean,0.6826568265682657,0.6737178266489467,0.6792452830188679,24.01256561279297,211,53,271,0.6568265682656826,0.6565976390556222,0.025830258302583,0.0171201875933245,Alpha_Mu,9.838514940554685,12.995855440804815,31.86147820275546,42.08634812826934,29.5615987381834,39.04839969464436,4.44342796401344,5.869396736281489
A08,Alpha_Mu_Clean,0.5904059040590406,0.5938295772854596,0.7547169811320755,24.607181549072266,211,53,271,0.6568265682656826,0.6565976390556222,-0.066420664206642,-0.0627680617701625,Alpha_Mu,9.838514940554685,12.995855440804815,31.86147820275546,42.08634812826934,29.5615987381834,39.04839969464436,4.44342796401344,5.869396736281489
A08,Beta_Clean,0.6642066420664207,0.6415506935308914,0.7735849056603774,24.175167083740234,211,53,271,0.6568265682656826,0.6565976390556222,0.007380073800738,-0.0150469455247307,Alpha_Mu,9.838514940554685,12.995855440804815,31.86147820275546,42.08634812826934,29.5615987381834,39.04839969464436,4.44342796401344,5.869396736281489
A08,Gamma_Clean,0.6457564575645757,0.6372922977201052,0.6792452830188679,24.519681930541992,211,53,271,0.6568265682656826,0.6565976390556222,-0.0110701107011069,-0.0193053413355169,Alpha_Mu,9.838514940554685,12.995855440804815,31.86147820275546,42.08634812826934,29.5615987381834,39.04839969464436,4.44342796401344,5.869396736281489
A09,Raw,0.6590909090909091,0.6582576519785905,0.875,24.997949600219727,189,48,264,0.6590909090909091,0.6582576519785905,0.0,0.0,Alpha_Mu,17.60460905868866,25.45150034483608,38.30529987055642,55.37909700887938,12.183799111922772,17.614476201359878,1.0755307862811074,1.5549264449246714
A09,All_Clean,0.7386363636363636,0.7386075368691581,0.8541666666666666,33.43701362609863,189,48,264,0.6590909090909091,0.6582576519785905,0.0795454545454545,0.0803498848905676,Alpha_Mu,17.60460905868866,25.45150034483608,38.30529987055642,55.37909700887938,12.183799111922772,17.614476201359878,1.0755307862811074,1.5549264449246714
A09,Theta_Clean,0.6666666666666666,0.6651030198420572,0.9166666666666666,23.936748504638672,189,48,264,0.6590909090909091,0.6582576519785905,0.0075757575757575,0.0068453678634666,Alpha_Mu,17.60460905868866,25.45150034483608,38.30529987055642,55.37909700887938,12.183799111922772,17.614476201359878,1.0755307862811074,1.5549264449246714
A09,Alpha_Mu_Clean,0.696969696969697,0.6935919275505085,0.8125,28.94735336303711,189,48,264,0.6590909090909091,0.6582576519785905,0.0378787878787879,0.0353342755719179,Alpha_Mu,17.60460905868866,25.45150034483608,38.30529987055642,55.37909700887938,12.183799111922772,17.614476201359878,1.0755307862811074,1.5549264449246714
A09,Beta_Clean,0.7007575757575758,0.7032144275725952,0.875,24.3990421295166,189,48,264,0.6590909090909091,0.6582576519785905,0.0416666666666667,0.0449567755940046,Alpha_Mu,17.60460905868866,25.45150034483608,38.30529987055642,55.37909700887938,12.183799111922772,17.614476201359878,1.0755307862811074,1.5549264449246714
A09,Gamma_Clean,0.7196969696969697,0.7171486766066044,0.875,24.74665641784668,189,48,264,0.6590909090909091,0.6582576519785905,0.0606060606060606,0.0588910246280138,Alpha_Mu,17.60460905868866,25.45150034483608,38.30529987055642,55.37909700887938,12.183799111922772,17.614476201359878,1.0755307862811074,1.5549264449246714
